"","Year","Month","COUNTY","Total.Sales"
"2225","2019","April","Lake",77522.13
"2226","2019","June","Grant",77459.15
"2227","2018","March","Wallowa",77083.31
"2228","2018","July","Grant",76772.11
"2229","2018","June","Grant",76124.02
"2230","2017","October","Harney",75817.75
"2231","2020","February","Wallowa",75714.21
"2232","2018","May","Grant",75506.14
"2233","2018","October","Harney",75389.15
"2234","2017","August","Harney",75251.81
"2235","2022","February","Morrow",74995.43
"2236","2017","July","Harney",74929.66
"2237","2018","April","Lake",74656.09
"2238","2017","June","Grant",74402.78
"2239","2017","September","Harney",74191.25
"2240","2018","December","Morrow",74186.86
"2241","2020","January","Wallowa",74008.92
"2242","2017","November","Harney",73788.89
"2243","2020","October","Morrow",73733.1
"2244","2021","August","Morrow",73664.23
"2245","2022","January","Morrow",73608.45
"2246","2017","March","Lake",73547.6
"2247","2021","May","Morrow",73357.62
"2248","2021","July","Morrow",72998.5
"2249","2019","April","Harney",72904.6
"2250","2021","June","Morrow",72821.1
"2251","2018","September","Harney",72678.25
"2252","2017","May","Grant",72503.87
"2253","2019","December","Morrow",72100.9
"2254","2017","April","Wallowa",71579.81
"2255","2019","January","Wallowa",71536.25
"2256","2018","March","Grant",71340.94
"2257","2018","April","Wallowa",71307.42
"2258","2020","November","Morrow",71295.6
"2259","2021","April","Morrow",70972.37
"2260","2020","May","Morrow",70859.15
"2261","2017","June","Harney",70847.73
"2262","2020","July","Morrow",70723.47
"2263","2020","February","Grant",69823.92
"2264","2018","June","Harney",69433.09
"2265","2017","April","Lake",69140.21
"2266","2018","February","Lake",68864.85
"2267","2018","July","Harney",68581.95
"2268","2018","February","Wallowa",68577.63
"2269","2017","December","Morrow",68319.46
"2270","2019","March","Grant",68277.1
"2271","2019","February","Wallowa",68190.45
"2272","2017","March","Wallowa",67900.42
"2273","2021","March","Morrow",67861.7
"2274","2020","February","Harney",67709.69
"2275","2020","January","Harney",67638.05
"2276","2020","August","Morrow",67363.73
"2277","2021","February","Morrow",66792.29
"2278","2019","March","Harney",66729.52
"2279","2017","May","Harney",66168.8
"2280","2020","January","Grant",65906.85
"2281","2019","January","Lake",65881.26
"2282","2020","June","Morrow",65376.49
"2283","2018","April","Grant",65178.68
"2284","2018","March","Harney",65139.2
"2285","2020","April","Morrow",65049.3
"2286","2018","May","Harney",65008.55
"2287","2019","April","Grant",64717.71
"2288","2019","November","Morrow",64460.94
"2289","2018","January","Lake",64459.09
"2290","2020","March","Morrow",64004.9
"2291","2017","February","Lake",62450.13
"2292","2019","February","Grant",62201.87
"2293","2017","February","Wallowa",62173.66
"2294","2020","September","Morrow",61820.64
"2295","2017","March","Grant",61576.29
"2296","2019","January","Grant",61452.68
"2297","2018","January","Wallowa",60990.88
"2298","2019","October","Morrow",60851.86
"2299","2018","November","Morrow",60676.66
"2300","2017","April","Grant",60440
"2301","2021","January","Morrow",59810.05
"2302","2018","October","Morrow",59110.94
"2303","2017","March","Harney",58196.42
"2304","2018","April","Harney",57802
"2305","2017","April","Harney",57218.4
"2306","2018","January","Grant",56378.03
"2307","2017","February","Grant",56056.44
"2308","2019","July","Morrow",55598.19
"2309","2019","January","Harney",55487.65
"2310","2019","February","Harney",55232.88
"2311","2017","October","Morrow",54248.49
"2312","2019","May","Morrow",53899.72
"2313","2019","March","Morrow",53831.02
"2314","2019","September","Morrow",53569.83
"2315","2017","November","Morrow",53346.4
"2316","2018","August","Morrow",53206.82
"2317","2018","June","Morrow",52128.83
"2318","2019","August","Morrow",51866.87
"2319","2018","March","Morrow",51817.77
"2320","2017","February","Harney",51777.99
"2321","2018","September","Morrow",51735.47
"2322","2018","February","Grant",51644.09
"2323","2018","January","Harney",51514.55
"2324","2017","September","Morrow",51251.85
"2325","2018","May","Morrow",49456.67
"2326","2019","June","Morrow",49415.55
"2327","2019","February","Morrow",49324.81
"2328","2018","July","Morrow",48785.56
"2329","2019","April","Morrow",48592.9
"2330","2020","February","Morrow",48517.58
"2331","2018","February","Harney",47794.15
"2332","2017","June","Morrow",46722.52
"2333","2018","April","Morrow",46523.83
"2334","2017","July","Morrow",46501.67
"2335","2017","August","Morrow",46379.37
"2336","2020","January","Morrow",45828.19
"2337","2019","January","Morrow",45694.01
"2338","2017","May","Morrow",45554.99
"2339","2017","March","Morrow",45229.52
"2340","2017","April","Morrow",41953.41
"2341","2017","February","Morrow",41313.7
"2342","2018","February","Morrow",41294.62
"2343","2018","January","Morrow",38599.41
"2344","2021","December","Gilliam",38057.97
"2345","2022","December","Gilliam",37829.32
"2346","2022","December","Sherman",35087.07
"2347","2020","October","Gilliam",33468.24
"2348","2020","December","Gilliam",32906.44
"2349","2022","August","Gilliam",32266.6
"2350","2022","July","Gilliam",31947.9
"2351","2022","November","Gilliam",31359.86
"2352","2021","October","Sherman",30692.9
"2353","2021","December","Sherman",30346.95
"2354","2020","April","Gilliam",30286.18
"2355","2022","April","Gilliam",30020.93
"2356","2020","May","Gilliam",29951.14
"2357","2022","October","Gilliam",29848.75
"2358","2018","December","Gilliam",29797.67
"2359","2022","June","Gilliam",29768.6
"2360","2021","October","Gilliam",29558.22
"2361","2022","September","Gilliam",29411.03
"2362","2022","March","Gilliam",29374.85
"2363","2020","December","Sherman",29238.47
"2364","2020","July","Gilliam",29210.02
"2365","2020","October","Sherman",28785.82
"2366","2022","October","Sherman",28645.57
"2367","2021","November","Gilliam",28462.15
"2368","2022","November","Sherman",28037.4
"2369","2022","August","Sherman",27658.44
"2370","2020","March","Gilliam",27652.34
"2371","2022","May","Gilliam",27605.56
"2372","2020","June","Gilliam",27539.04
"2373","2018","November","Gilliam",27465.14
"2374","2020","August","Sherman",27301.91
"2375","2020","November","Sherman",26766.67
"2376","2020","September","Gilliam",26553.87
"2377","2019","August","Gilliam",26396.84
"2378","2022","February","Gilliam",26346.42
"2379","2019","May","Gilliam",26282.96
"2380","2022","March","Sherman",26040.65
"2381","2022","January","Gilliam",25995.53
"2382","2019","December","Gilliam",25916.7
"2383","2021","September","Gilliam",25624.89
"2384","2021","July","Gilliam",25314.07
"2385","2019","July","Gilliam",25145.36
"2386","2020","August","Gilliam",25133.26
"2387","2021","August","Sherman",25060.55
"2388","2021","June","Gilliam",24930.7
"2389","2021","September","Sherman",24903.3
"2390","2021","November","Sherman",24891.35
"2391","2019","April","Gilliam",24869.73
"2392","2019","November","Gilliam",24852.34
"2393","2021","May","Gilliam",24769.64
"2394","2021","April","Gilliam",24705.86
"2395","2021","June","Sherman",24690.9
"2396","2020","November","Gilliam",24689.77
"2397","2017","December","Gilliam",24311.48
"2398","2022","June","Sherman",24209.6
"2399","2021","August","Gilliam",24103.88
"2400","2017","August","Gilliam",24048.49
"2401","2022","September","Sherman",23977.08
"2402","2022","July","Sherman",23857.2
"2403","2021","May","Sherman",23822.42
"2404","2022","January","Sherman",23675.84
"2405","2021","July","Sherman",23651.4
"2406","2018","October","Gilliam",23335.21
"2407","2022","April","Sherman",23313.95
"2408","2020","September","Sherman",22824.9
"2409","2018","September","Gilliam",22727.89
"2410","2019","March","Gilliam",22684.31
"2411","2019","October","Gilliam",22679.39
"2412","2021","March","Gilliam",22362.95
"2413","2018","May","Gilliam",22150.32
"2414","2017","October","Gilliam",22093.19
"2415","2021","February","Gilliam",22021.83
"2416","2018","August","Gilliam",21992.87
"2417","2017","June","Gilliam",21794.77
"2418","2019","September","Gilliam",21773.7
"2419","2022","February","Sherman",21652.55
"2420","2018","March","Gilliam",21513.16
"2421","2022","May","Sherman",21492.98
"2422","2021","March","Sherman",21414.65
"2423","2019","June","Gilliam",21373.39
"2424","2020","April","Sherman",21302.15
"2425","2020","May","Sherman",21003.8
"2426","2020","February","Gilliam",20937.44
"2427","2017","September","Gilliam",20860.84
"2428","2019","February","Gilliam",20698.16
"2429","2017","May","Gilliam",20654.24
"2430","2018","June","Gilliam",20458.86
"2431","2021","January","Gilliam",20456.98
"2432","2021","February","Sherman",20215.43
"2433","2021","April","Sherman",20201.1
"2434","2020","January","Gilliam",19680.39
"2435","2021","January","Sherman",19579.24
"2436","2017","November","Gilliam",19545.05
"2437","2019","January","Gilliam",19337.98
"2438","2017","July","Gilliam",19045.63
"2439","2020","July","Sherman",18878.5
"2440","2018","April","Gilliam",18571.59
"2441","2017","March","Gilliam",18557.7
"2442","2021","December","Wheeler",18446.8
"2443","2022","December","Wheeler",17992.62
"2444","2018","July","Gilliam",17798.16
"2445","2022","September","Wheeler",17658.9
"2446","2020","June","Sherman",17632.75
"2447","2017","November","Sherman",17595.3
"2448","2020","December","Wheeler",17443.01
"2449","2018","February","Gilliam",17292.17
"2450","2018","January","Gilliam",17265.99
"2451","2021","May","Wheeler",17147.26
"2452","2017","April","Gilliam",17035.1
"2453","2020","March","Sherman",17024.05
"2454","2022","June","Wheeler",16910.05
"2455","2021","October","Wheeler",16878.92
"2456","2020","November","Wheeler",16669.07
"2457","2020","October","Wheeler",16637.1
"2458","2021","June","Wheeler",16341.7
"2459","2018","February","Sherman",16296.6
"2460","2022","July","Wheeler",16090.52
"2461","2017","May","Wheeler",16041.68
"2462","2022","May","Wheeler",15986.49
"2463","2017","June","Sherman",15950.34
"2464","2022","August","Wheeler",15629.31
"2465","2020","May","Wheeler",15334.56
"2466","2022","April","Wheeler",15331.13
"2467","2020","July","Wheeler",15323.47
"2468","2022","October","Wheeler",15165
"2469","2020","August","Wheeler",15051.99
"2470","2019","December","Sherman",15025.9
"2471","2018","December","Wheeler",15007.42
"2472","2022","March","Wheeler",14933.7
"2473","2020","September","Wheeler",14925.27
"2474","2019","September","Sherman",14919.35
"2475","2018","December","Sherman",14919.1
"2476","2022","November","Wheeler",14719.17
"2477","2017","February","Gilliam",14642.27
"2478","2021","August","Wheeler",14535.25
"2479","2019","May","Wheeler",14530.58
"2480","2018","June","Sherman",14457.85
"2481","2021","March","Wheeler",14454.86
"2482","2018","October","Wheeler",14297.29
"2483","2018","November","Sherman",14190.98
"2484","2021","April","Wheeler",14180.69
"2485","2017","August","Wheeler",14152.42
"2486","2020","March","Wheeler",14134.31
"2487","2019","October","Sherman",14113.8
"2488","2021","September","Wheeler",14084.9
"2489","2019","July","Wheeler",14003.88
"2490","2018","May","Sherman",13982.1
"2491","2019","August","Wheeler",13924.8
"2492","2019","November","Sherman",13716.2
"2493","2018","July","Wheeler",13690.02
"2494","2018","August","Sherman",13602.05
"2495","2018","May","Wheeler",13567.7
"2496","2017","December","Sherman",13466.55
"2497","2020","June","Wheeler",13453.8
"2498","2019","December","Wheeler",13406.91
"2499","2020","April","Wheeler",13400.85
"2500","2019","May","Sherman",13395.6
"2501","2019","November","Wheeler",13334.3
"2502","2017","September","Sherman",13171.5
"2503","2020","January","Wheeler",13083.71
"2504","2018","October","Sherman",13052.4
"2505","2019","October","Wheeler",12853.75
"2506","2018","September","Sherman",12713.1
"2507","2021","July","Wheeler",12696.61
"2508","2018","September","Wheeler",12645.21
"2509","2021","February","Wheeler",12608.74
"2510","2019","January","Sherman",12491.22
"2511","2018","July","Sherman",12474.8
"2512","2018","August","Wheeler",12440.45
"2513","2019","September","Wheeler",12430.29
"2514","2021","January","Wheeler",12369.12
"2515","2021","November","Wheeler",12275.26
"2516","2022","January","Wheeler",12214.3
"2517","2020","January","Sherman",12178.55
"2518","2019","April","Sherman",12169.9
"2519","2022","February","Wheeler",12159.75
"2520","2019","July","Sherman",12109.2
"2521","2019","June","Sherman",12074.75
"2522","2017","December","Wheeler",11979.16
"2523","2019","March","Sherman",11885.45
"2524","2017","July","Wheeler",11881.56
"2525","2019","March","Wheeler",11511.15
"2526","2017","August","Sherman",11388.16
"2527","2018","April","Sherman",11220.44
"2528","2019","June","Wheeler",11118
"2529","2020","February","Sherman",10936.55
"2530","2018","March","Sherman",10907.25
"2531","2017","July","Sherman",10878.8
"2532","2019","February","Sherman",10853.65
"2533","2018","June","Wheeler",10769.2
"2534","2019","April","Wheeler",10707.49
"2535","2018","November","Wheeler",10701.75
"2536","2017","March","Sherman",10689.05
"2537","2017","April","Sherman",10654.66
"2538","2020","February","Wheeler",10613.2
"2539","2017","November","Wheeler",10540.49
"2540","2017","June","Wheeler",10528.37
"2541","2017","October","Wheeler",10501.63
"2542","2018","March","Wheeler",10473.86
"2543","2017","September","Wheeler",10121.67
"2544","2017","March","Wheeler",9932.35
"2545","2019","January","Wheeler",9784.14
"2546","2019","February","Wheeler",9618.72
"2547","2018","February","Wheeler",9423.04
"2548","2019","August","Sherman",9216.35
"2549","2017","February","Sherman",9144.15
"2550","2018","January","Wheeler",9045.01
"2551","2017","February","Wheeler",8016.48
"2552","2017","May","Sherman",7935.2
"2553","2018","April","Wheeler",7933.85
"2554","2017","April","Wheeler",6889.95
"2555","2017","October","Sherman",5638.45
"2556","2018","January","Sherman",4841.85
